name	description
SetServiceStartupType	Determines the service’s startup type (Manual/Automatic/ Disabled)
Sgn	Returns a value indicating the sign of a decimal number
ShareFolder	Creates a new folder share
SingleSSHCommand	Sends a single SSH protocol command
SlackArchiveChannel	Archives a Slack channel.
SlackCreateChannel	Creates a Slack channel.
SlackInvitetoChannel	Invites the defined users to the selected channel.
SlackKickfromChannel	Kicks the desired users out of the selected channel.
SlackSendMessage	Sends a Slack message.
SlackStartConversation	Initiated a Conversation ID to use in subsequent Slack Send Message activities
SlackStopConversation	Ends the current Slack conversation
SLNPMAcknowledgeAlert	Acknowledges a SolarWinds NPM alert
SLNPMAddNote	Adds a SolarWinds NPM note
SLNPMGetAlert	Retrieves a list of SolarWinds NPM alerts according to the selected criteria
SLNPMGetNode	Retrieves a list of SolarWinds NPM nodes according to the selected criteria
SLNPMManageNode	Manages a SolarWinds NPM node after a maintenance procedure
SLNPMUnacknowledgeAlert	Un-acknowledges a SolarWinds NPM alert
SLNPMUnManageNode	Un-manages a SolarWinds NPM node during maintenance procedures
SNCreateRecord	Creates a new Service Now record
SNDeleteRecord	Deletes an existing ServiceNow record 
SNDownloadAttachment	SN Download Attachment
SNDownloadAttachmentStandalone	Download an attachment from a ServiceNow ticket without the use of an integration module.
SNGetCatalogVariables	Get Catalog Variables Items
SNGetRecord	Retrieves a list of ServiceNow records according to the selected criteria
SNMPGet	Retrieves the value of an SNMP object ID of a specified device
